1	1	27
2	1	15
3	1	18
4	1	6
5	1	25
6	1	4
7	1	28
8	1	2
9	1	17
10	1	14
11	2	25
12	2	22
13	2	21
14	2	29
15	2	10
16	2	17
17	2	24
18	2	1
19	2	5
20	2	9
21	3	8
22	3	7
23	3	12
24	3	27
25	3	14
26	3	9
27	3	26
28	3	21
29	3	22
30	3	10
31	4	11
32	4	21
33	4	24
34	4	9
35	4	19
36	4	29
37	4	7
38	4	1
39	4	2
40	4	30
41	5	27
42	5	25
43	5	7
44	5	6
45	5	4
46	5	1
47	5	18
48	5	3
49	5	2
50	5	26
51	6	13
52	6	11
53	6	16
54	6	24
55	6	20
56	6	14
57	6	10
58	6	12
59	6	9
60	6	26
61	7	6
62	7	11
63	7	23
64	7	8
65	7	29
66	7	13
67	7	2
68	7	16
69	7	18
70	7	17
71	8	26
72	8	24
73	8	23
74	8	14
75	8	28
76	8	15
77	8	21
78	8	6
79	8	17
80	8	5
81	9	2
82	9	26
83	9	18
84	9	8
85	9	3
86	9	10
87	9	11
88	9	13
89	9	24
90	9	29
91	10	28
92	10	29
93	10	25
94	10	13
95	10	1
96	10	27
97	10	12
98	10	11
99	10	24
100	10	4
101	11	13
102	11	12
103	11	23
104	11	16
105	11	3
106	11	30
107	11	22
108	11	26
109	11	25
110	11	9
111	12	20
112	12	27
113	12	6
114	12	2
115	12	5
116	12	4
117	12	7
118	12	17
119	12	29
120	12	3
121	13	17
122	13	4
123	13	29
124	13	9
125	13	1
126	13	19
127	13	22
128	13	20
129	13	2
130	13	21
131	14	1
132	14	26
133	14	29
134	14	3
135	14	10
136	14	2
137	14	13
138	14	12
139	14	8
140	14	19
141	15	12
142	15	3
143	15	17
144	15	11
145	15	30
146	15	13
147	15	8
148	15	25
149	15	28
150	15	27
151	16	24
152	16	1
153	16	7
154	16	4
155	16	8
156	16	12
157	16	27
158	16	23
159	16	11
160	16	13
161	17	20
162	17	11
163	17	10
164	17	4
165	17	18
166	17	29
167	17	5
168	17	2
169	17	15
170	17	21
171	18	14
172	18	11
173	18	10
174	18	7
175	18	17
176	18	12
177	18	23
178	18	3
179	18	5
180	18	26
181	19	15
182	19	14
183	19	22
184	19	20
185	19	1
186	19	8
187	19	3
188	19	29
189	19	5
190	19	11
191	20	22
192	20	9
193	20	25
194	20	19
195	20	10
196	20	5
197	20	24
198	20	14
199	20	7
200	20	6
201	21	5
202	21	13
203	21	27
204	21	25
205	21	24
206	21	1
207	21	4
208	21	26
209	21	9
210	21	30
211	22	9
212	22	10
213	22	1
214	22	23
215	22	2
216	22	6
217	22	29
218	22	25
219	22	30
220	22	17
221	23	1
222	23	25
223	23	16
224	23	18
225	23	9
226	23	19
227	23	17
228	23	26
229	23	7
230	23	29
231	24	20
232	24	26
233	24	15
234	24	3
235	24	7
236	24	11
237	24	12
238	24	6
239	24	9
240	24	29
241	25	17
242	25	22
243	25	27
244	25	19
245	25	28
246	25	24
247	25	8
248	25	7
249	25	12
250	25	20
251	26	25
252	26	16
253	26	21
254	26	13
255	26	19
256	26	1
257	26	23
258	26	18
259	26	17
260	26	12
261	27	5
262	27	24
263	27	29
264	27	12
265	27	17
266	27	28
267	27	16
268	27	19
269	27	14
270	27	30
271	28	24
272	28	16
273	28	8
274	28	21
275	28	29
276	28	15
277	28	12
278	28	22
279	28	7
280	28	10
281	29	17
282	29	25
283	29	5
284	29	1
285	29	22
286	29	28
287	29	8
288	29	10
289	29	16
290	29	14
291	30	17
292	30	1
293	30	11
294	30	16
295	30	3
296	30	9
297	30	2
298	30	18
299	30	8
300	30	26
\.


